v1,v2,v3,v4,v5
31.85,3.43,0.028,0.002,3.508962854
31.85,3.43,0.028,0.002,4.225847738
31.85,3.43,0.028,0.002,4.301309305
31.85,3.43,0.028,0.002,5.169117323
31.85,3.43,0.028,0.002,2.867539537
31.85,3.43,0.028,0.002,2.150654652
31.85,3.43,0.028,0.002,3.35803972
31.85,3.43,0.028,0.002,11.88519676
31.85,3.43,0.028,0.002,8.225310776
31.85,3.43,0.028,0.002,11.92292755
31.85,3.43,0.028,0.002,23.54400883
31.85,3.43,0.028,0.002,21.43108496
59.37,2.22,0.031,0.004,0.259549708
59.37,2.22,0.031,0.004,2.725271938
59.37,2.22,0.031,0.004,3.596617388
59.37,2.22,0.031,0.004,4.78313034
59.37,2.22,0.031,0.004,3.670774447
59.37,2.22,0.031,0.004,0.370785298
59.37,2.22,0.031,0.004,0.352246033
59.37,2.22,0.031,0.004,1.520219721
59.37,2.22,0.031,0.004,3.540999593
59.37,2.22,0.031,0.004,0.79718839
59.37,2.22,0.031,0.004,7.397166689
59.37,2.22,0.031,0.004,4.968522989
59.37,2.22,0.031,0.004,5.988182558
59.37,2.22,0.031,0.004,13.16287807
59.37,2.22,0.031,0.004,12.42130747
59.37,2.22,0.031,0.004,4.93144446
59.37,2.22,0.031,0.004,6.692674624
59.37,2.22,0.031,0.004,4.560659162
59.37,2.22,0.031,0.004,8.88030788
59.37,2.22,0.031,0.004,4.801669605
59.37,2.22,0.031,0.004,12.12467924
59.37,2.22,0.031,0.004,17.18589855
59.37,2.22,0.031,0.004,6.41458565
59.37,2.22,0.031,0.004,8.973004205
59.37,2.22,0.031,0.004,3.744931507
59.37,2.22,0.031,0.004,2.929203852
59.37,2.22,0.031,0.004,4.189873864
59.37,2.22,0.031,0.004,2.743811203
59.37,2.22,0.031,0.004,2.150554727
59.37,2.22,0.031,0.004,17.53814458
59.37,2.22,0.031,0.004,22.24711786
59.37,2.22,0.031,0.004,36.00325241
59.37,2.22,0.031,0.004,22.98868846
59.37,2.22,0.031,0.004,19.28083548
59.37,2.22,0.031,0.004,17.72353723
59.37,2.22,0.031,0.004,35.96617388
59.37,2.22,0.031,0.004,172.2297708
59.37,2.22,0.031,0.004,46.90434016
41.75,5.83,0.031,0.003,1.959178035
41.75,5.83,0.031,0.003,1.382450302
41.75,5.83,0.031,0.003,1.70473933
41.75,5.83,0.031,0.003,0.483433541
41.75,5.83,0.031,0.003,1.670814169
41.75,5.83,0.031,0.003,10.19451082
41.75,5.83,0.031,0.003,2.807307055
41.75,5.83,0.031,0.003,1.789552232
41.75,5.83,0.031,0.003,16.24167073
41.75,5.83,0.031,0.003,5.996272169
41.75,5.83,0.031,0.003,6.03867862
41.75,5.83,0.031,0.003,5.996272169
41.75,5.83,0.031,0.003,2.510461898
41.75,5.83,0.031,0.003,0.627615475
41.75,5.83,0.031,0.003,2.959970279
41.75,5.83,0.031,0.003,1.628407718
41.75,5.83,0.031,0.003,4.596859287
41.75,5.83,0.031,0.003,1.747145781
41.75,5.83,0.031,0.003,12.23850175
41.75,5.83,0.031,0.003,14.48604366
41.75,5.83,0.031,0.003,5.59765153
41.75,5.83,0.031,0.003,4.350901871
41.75,5.83,0.031,0.003,3.350109628
41.75,5.83,0.031,0.003,6.04715991
41.75,5.83,0.031,0.003,12.39964627
41.75,5.83,0.031,0.003,8.481290197
41.75,5.83,0.031,0.003,4.172794777
41.75,5.83,0.031,0.003,5.377137985
41.75,5.83,0.031,0.003,27.23342282
42.79,2.14,0.031,0.002,0.194255655
42.79,2.14,0.031,0.002,2.007308439
42.79,2.14,0.031,0.002,1.467709396
42.79,2.14,0.031,0.002,1.230285817
42.79,2.14,0.031,0.002,1.489293358
42.79,2.14,0.031,0.002,8.590416761
42.79,2.14,0.031,0.002,6.755780015
42.79,2.14,0.031,0.002,13.53314399
42.79,2.14,0.031,0.002,8.892592225
42.79,2.14,0.031,0.002,25.33957105
42.79,2.14,0.031,0.002,12.6266176
42.79,2.14,0.031,0.002,13.85690342
42.79,2.14,0.031,0.002,8.741504493
42.79,2.14,0.031,0.002,3.582937644
42.79,2.14,0.031,0.002,12.71295345
42.79,2.14,0.031,0.002,7.554386599
42.79,2.14,0.031,0.002,5.568662121
42.79,2.14,0.031,0.002,6.993203594
42.79,2.14,0.031,0.002,14.87134962
42.79,2.14,0.031,0.002,3.928281031
42.79,2.14,0.031,0.002,9.151599765
42.79,2.14,0.031,0.002,5.914005509
42.79,2.14,0.031,0.002,9.367439382
42.79,2.14,0.031,0.002,7.986065833
42.79,2.14,0.031,0.002,8.20190545
42.79,2.14,0.031,0.002,21.17386644
42.79,2.14,0.031,0.002,26.05184178
42.79,2.14,0.031,0.002,6.237764934
42.79,2.14,0.031,0.002,223.9983546
53.57,0,0.03,0.003,4.387025461
53.57,0,0.03,0.003,5.948122833
53.57,0,0.03,0.003,14.40311736
53.57,0,0.03,0.003,6.985056123
53.57,0,0.03,0.003,8.227097098
53.57,0,0.03,0.003,14.23219429
53.57,0,0.03,0.003,6.153230517
53.57,0,0.03,0.003,3.817281895
53.57,0,0.03,0.003,7.691538146
53.57,0,0.03,0.003,8.067568899
53.57,0,0.03,0.003,8.010594543
53.57,0,0.03,0.003,4.432604946
53.57,0,0.03,0.003,6.153230517
53.57,0,0.03,0.003,3.851466508
53.57,0,0.03,0.003,12.54575333
53.57,0,0.03,0.003,4.785845957
53.57,0,0.03,0.003,5.025138255
53.57,0,0.03,0.003,7.076215094
53.57,0,0.03,0.003,6.301363844
53.57,0,0.03,0.003,5.446748494
53.57,0,0.03,0.003,3.566594725
53.57,0,0.03,0.003,3.1791691
53.57,0,0.03,0.003,8.705681694
53.57,0,0.03,0.003,12.48877897
53.57,0,0.03,0.003,19.54220433
53.57,0,0.03,0.003,8.534758624
53.57,0,0.03,0.003,5.788594634
53.57,0,0.03,0.003,6.3583382
53.57,0,0.03,0.003,6.107651031
53.57,0,0.03,0.003,7.304112521
53.57,0,0.03,0.003,4.592133145
53.57,0,0.03,0.003,1.526912758
53.57,0,0.03,0.003,3.110799872
53.57,0,0.03,0.003,1.185066618
53.57,0,0.03,0.003,12.21530206
53.57,0,0.03,0.003,1.264830717
53.57,0,0.03,0.003,0.717876894
44.52,6.57,0.032,0.003,5.269168646
44.52,6.57,0.032,0.003,11.58308625
44.52,6.57,0.032,0.003,15.91349496
44.52,6.57,0.032,0.003,13.49088869
44.52,6.57,0.032,0.003,11.43167336
44.52,6.57,0.032,0.003,13.23348677
44.52,6.57,0.032,0.003,10.90172823
44.52,6.57,0.032,0.003,5.102614465
44.52,6.57,0.032,0.003,11.38624949
44.52,6.57,0.032,0.003,7.237536244
44.52,6.57,0.032,0.003,12.87009583
44.52,6.57,0.032,0.003,13.32433451
44.52,6.57,0.032,0.003,53.11564256
36.7,2.98,0.031,0.002,0.31970237
36.7,2.98,0.031,0.002,0.122878802
36.7,2.98,0.031,0.002,0.967806494
36.7,2.98,0.031,0.002,1.097209834
36.7,2.98,0.031,0.002,1.102646949
36.7,2.98,0.031,0.002,0.418657865
36.7,2.98,0.031,0.002,1.216826367
36.7,2.98,0.031,0.002,0.868850998
36.7,2.98,0.031,0.002,0.423007557
36.7,2.98,0.031,0.002,1.568064004
36.7,2.98,0.031,0.002,7.1498064
36.7,2.98,0.031,0.002,8.054542359
38.38,2.61,0.032,0.002,1.236634676
38.38,2.61,0.032,0.002,1.413674256
38.38,2.61,0.032,0.002,1.90779965
38.38,2.61,0.032,0.002,3.316189142
38.38,2.61,0.032,0.002,1.543150963
38.38,2.61,0.032,0.002,1.223422767
38.38,2.61,0.032,0.002,1.078091769
38.38,2.61,0.032,0.002,1.754541506
38.38,2.61,0.032,0.002,1.339687566
38.38,2.61,0.032,0.002,1.712263398
38.38,2.61,0.032,0.002,1.236634676
38.38,2.61,0.032,0.002,13.9412063
38.38,2.61,0.032,0.002,6.016703327
45.45,3.44,0.032,0.002,1.711559169
45.45,3.44,0.032,0.002,3.079903307
45.45,3.44,0.032,0.002,4.86823426
45.45,3.44,0.032,0.002,1.698011208
45.45,3.44,0.032,0.002,2.407021206
45.45,3.44,0.032,0.002,3.423118339
45.45,3.44,0.032,0.002,3.445698275
45.45,3.44,0.032,0.002,4.100516427
45.45,3.44,0.032,0.002,3.228930887
45.45,3.44,0.032,0.002,3.540534007
45.45,3.44,0.032,0.002,7.473958906
45.45,3.44,0.032,0.002,2.370893308
45.45,3.44,0.032,0.002,3.129579167
45.45,3.44,0.032,0.002,1.856070761
45.45,3.44,0.032,0.002,2.167673882
45.45,3.44,0.032,0.002,2.361861334
45.45,3.44,0.032,0.002,3.58569388
45.45,3.44,0.032,0.002,27.75074168
44.59,1.48,0.03,0.004,2.127818842
44.59,1.48,0.03,0.004,1.279282257
44.59,1.48,0.03,0.004,1.292237014
44.59,1.48,0.03,0.004,0.586202756
44.59,1.48,0.03,0.004,0.722227704
44.59,1.48,0.03,0.004,1.616105939
44.59,1.48,0.03,0.004,0.948935952
44.59,1.48,0.03,0.004,1.1756442
44.59,1.48,0.03,0.004,1.230701918
44.59,1.48,0.03,0.004,1.295475703
44.59,1.48,0.03,0.004,1.039619252
44.59,1.48,0.03,0.004,1.120586483
44.59,1.48,0.03,0.004,0.997516291
44.59,1.48,0.03,0.004,1.250134053
44.59,1.48,0.03,0.004,0.680124744
44.59,1.48,0.03,0.004,0.667169987
44.59,1.48,0.03,0.004,1.169166822
44.59,1.48,0.03,0.004,0.952174642
44.59,1.48,0.03,0.004,0.625067027
44.59,1.48,0.03,0.004,3.005503631
44.59,1.48,0.03,0.004,0.777285422
44.59,1.48,0.03,0.004,1.386159002
44.59,1.48,0.03,0.004,2.960161981
44.59,1.48,0.03,0.004,2.063045057
44.59,1.48,0.03,0.004,1.366726867
44.59,1.48,0.03,0.004,2.454926457
35.89,1.93,0.026,0.002,1.418294815
35.89,1.93,0.026,0.002,3.21295278
35.89,1.93,0.026,0.002,2.060093028
35.89,1.93,0.026,0.002,4.898663517
35.89,1.93,0.026,0.002,0.984486764
35.89,1.93,0.026,0.002,1.646093564
35.89,1.93,0.026,0.002,2.810838468
35.89,1.93,0.026,0.002,2.905919684
35.89,1.93,0.026,0.002,2.404762438
35.89,1.93,0.026,0.002,3.480368702
35.89,1.93,0.026,0.002,2.115557071
35.89,1.93,0.026,0.002,28.17573387
35.89,1.93,0.026,0.002,25.2262353
49.23,2.39,0.032,0.003,2.608301448
49.23,2.39,0.032,0.003,1.341730307
49.23,2.39,0.032,0.003,1.912383239
49.23,2.39,0.032,0.003,1.386269073
49.23,2.39,0.032,0.003,1.36399969
49.23,2.39,0.032,0.003,1.155224227
49.23,2.39,0.032,0.003,4.637598947
49.23,2.39,0.032,0.003,1.252652777
49.23,2.39,0.032,0.003,1.416889474
49.23,2.39,0.032,0.003,1.046660987
49.23,2.39,0.032,0.003,1.659069011
49.23,2.39,0.032,0.003,1.62844861
49.23,2.39,0.032,0.003,2.232505615
49.23,2.39,0.032,0.003,1.347297653
49.23,2.39,0.032,0.003,1.032742623
49.23,2.39,0.032,0.003,1.505967005
49.23,2.39,0.032,0.003,1.993109751
49.23,2.39,0.032,0.003,2.146211757
49.23,2.39,0.032,0.003,2.240856634
49.23,2.39,0.032,0.003,2.032081171
57.54,11.86,0.032,0.003,3.06822695
57.54,11.86,0.032,0.003,2.274799054
57.54,11.86,0.032,0.003,2.829739953
57.54,11.86,0.032,0.003,2.944397163
57.54,11.86,0.032,0.003,3.921276596
57.54,11.86,0.032,0.003,1.513475177
57.54,11.86,0.032,0.003,3.026950355
57.54,11.86,0.032,0.003,2.857257683
57.54,11.86,0.032,0.003,3.742411348
57.54,11.86,0.032,0.003,3.636926714
57.54,11.86,0.032,0.003,2.49035461
57.54,11.86,0.032,0.003,3.169125296
57.54,11.86,0.032,0.003,5.939243499
57.54,11.86,0.032,0.003,7.438959811
57.54,11.86,0.032,0.003,5.494373522
57.54,11.86,0.032,0.003,5.388888889
57.54,11.86,0.032,0.003,7.943451537
57.54,11.86,0.032,0.003,19.62014184
59.35,1.97,0.034,0.002,2.263419915
59.35,1.97,0.034,0.002,1.474178255
59.35,1.97,0.034,0.002,1.025666475
59.35,1.97,0.034,0.002,4.756310973
59.35,1.97,0.034,0.002,1.999180416
59.35,1.97,0.034,0.002,1.387257367
59.35,1.97,0.034,0.002,0.566724188
59.35,1.97,0.034,0.002,1.460270913
59.35,1.97,0.034,0.002,2.395539664
59.35,1.97,0.034,0.002,2.235605231
59.35,1.97,0.034,0.002,3.136105627
59.35,1.97,0.034,0.002,2.110439153
59.35,1.97,0.034,0.002,2.84752828
59.35,1.97,0.034,0.002,1.011759133
59.35,1.97,0.034,0.002,2.051332949
59.35,1.97,0.034,0.002,2.006134087
59.35,1.97,0.034,0.002,1.331627999
59.35,1.97,0.034,0.002,1.088249514
59.35,1.97,0.034,0.002,0.542386339
59.35,1.97,0.034,0.002,0.660598746
59.35,1.97,0.034,0.002,1.077819007
59.35,1.97,0.034,0.002,0.236424814
59.35,1.97,0.034,0.002,1.734940918
59.35,1.97,0.034,0.002,4.944060091
59.35,1.97,0.034,0.002,0.601492543
59.35,1.97,0.034,0.002,6.828504936
59.35,1.97,0.034,0.002,9.693417393
59.35,1.97,0.034,0.002,2.736269544
59.35,1.97,0.034,0.002,4.123526911
59.35,1.97,0.034,0.002,5.834129981
59.35,1.97,0.034,0.002,5.562936811
59.35,1.97,0.034,0.002,10.46527488
59.35,1.97,0.034,0.002,6.320886952
37.06,3.09,0.025,0.001,0.37200751
37.06,3.09,0.025,0.001,0.487878702
37.06,3.09,0.025,0.001,0.198878332
37.06,3.09,0.025,0.001,1.398246807
37.06,3.09,0.025,0.001,0.303907775
37.06,3.09,0.025,0.001,0.280191449
37.06,3.09,0.025,0.001,0.712167383
37.06,3.09,0.025,0.001,0.525824823
37.06,3.09,0.025,0.001,0.3276241
37.06,3.09,0.025,0.001,0.234114016
37.06,3.09,0.025,0.001,0.051159503
37.06,3.09,0.025,0.001,2.981480955
37.06,3.09,0.025,0.001,1.544610417
37.06,3.09,0.025,0.001,1.289829318
37.06,3.09,0.025,0.001,1.03809746
37.06,3.09,0.025,0.001,0.163981453
24.84,2.05,0.028,0.002,0.312890291
24.84,2.05,0.028,0.002,1.282424491
24.84,2.05,0.028,0.002,2.686173789
24.84,2.05,0.028,0.002,0.312890291
24.84,2.05,0.028,0.002,0.694957006
24.84,2.05,0.028,0.002,2.324327875
24.84,2.05,0.028,0.002,1.671940976
24.84,2.05,0.028,0.002,1.728346368
24.84,2.05,0.028,0.002,1.443126647
24.84,2.05,0.028,0.002,1.877341745
24.84,2.05,0.028,0.002,17.47396491
24.84,2.05,0.028,0.002,6.582402886
24.84,2.05,0.028,0.002,10.86921272
41.34,4.98,0.033,0.002,0.667189148
41.34,4.98,0.033,0.002,3.682622457
41.34,4.98,0.033,0.002,1.491363979
41.34,4.98,0.033,0.002,0.274724943
41.34,4.98,0.033,0.002,0.686812359
41.34,4.98,0.033,0.002,1.177392615
41.34,4.98,0.033,0.002,0.699894499
46.05,2.62,0.029,0.002,6.868472622
46.05,2.62,0.029,0.002,3.2093756
46.05,2.62,0.029,0.002,11.20215178
56.39,5.01,0.029,0.003,14.78765
56.39,5.01,0.029,0.003,15.70235
