v1,v2,v3,v4
130725,911,355,6
140190,456,355,2
181001,657,355,8
182466,1267,355,8
110947,606,355,3
88677,206,355,1
126535,208,355,4
162549,165,355,7
85309,217,355,3
203996,429,355,16
181697,301,355,9
163830,228,355,8
24698,93,157,2
132115,199,157,4
195550,290,157,10
190604,289,157,14
364328,479,157,22
52344,127,157,3
31880,177,157,5
181519,774,157,12
207861,840,157,15
28938,12,157,1
169474,464,157,12
380104,544,157,17
73392,58,157,7
128421,138,157,25
46255,34,157,5
38514,50,157,5
98845,161,157,16
49246,61,157,6
102449,122,157,16
39970,28,157,2
33618,30,157,8
7498,1,157,0
31266,20,157,2
56696,114,157,9
31651,33,157,7
30153,12,157,2
16600,5,157,3
20504,10,157,2
38888,16,157,5
39205,27,157,12
42593,11,157,5
13683,4,157,3
6510,4,157,3
11876,0,157,3
15624,3,157,2
1954,2,157,3
3924,0,157,2
2701,0,157,1
449376,1854,276,12
329931,437,276,14
328455,504,276,23
148688,156,276,3
355051,475,276,20
210464,300,276,18
165325,393,276,22
81051,102,276,10
92023,177,276,11
126943,208,276,10
149378,368,276,16
29358,63,276,4
203835,686,276,17
171296,182,276,5
78780,121,276,9
68680,95,276,9
76883,151,276,7
17596,36,276,4
5611,1,276,1
4847,3,276,1
19533,28,276,4
9705,12,276,2
31714,86,276,8
3367,5,276,0
6618,2,276,0
10013,17,276,5
17280,23,276,2
15980,20,276,2
4434,2,276,0
19226,49,264,1
80749,89,264,9
127546,140,264,10
110474,229,264,11
141800,160,264,11
231880,402,264,29
161984,183,264,18
271417,283,264,25
172658,156,264,19
54683,36,264,5
77305,88,264,13
84519,111,264,12
91674,119,264,15
58782,373,264,10
55411,51,264,13
71341,65,264,10
112981,97,264,7
98183,110,264,9
25793,9,264,3
15238,9,264,4
33287,1337,264,4
19596,844,264,1
77603,5387,264,13
58404,2945,264,9
78005,4152,264,15
69688,4016,264,10
204472,11794,264,15
220574,14072,264,24
10613,393,264,2
83650,4552,120,11
26278,1093,120,2
28748,1223,120,6
23021,751,120,4
24067,774,120,5
21789,553,120,4
47117,2148,120,2
25255,808,120,2
23449,862,120,4
23274,895,120,7
10262,253,120,1
61622,2933,120,8
27027,1039,120,5
26380,1060,120,5
22294,515,120,5
19537,533,120,3
11172,210,120,1
45977,2079,120,5
49223,2404,120,5
39241,2461,120,11
32921,1570,120,9
7923,261,120,9
15497,665,120,4
10481,303,120,2
9212,195,120,3
4846,82,120,2
86021,5564,120,24
73510,3314,120,13
37774,1398,120,6
4226,68,120,3
269090,16360,120,29
190728,12625,120,11
138249,7812,120,13
138224,8968,120,11
207996,11452,120,20
69407,4525,120,6
77198,79,120,7
401678,26348,167,34
377952,23345,167,43
84976,4632,167,19
158910,7842,167,15
141096,9435,167,22
85195,4355,167,22
149038,9518,167,23
191306,9136,167,21
112623,5541,167,17
213159,10072,167,19
46227,2256,167,8
62367,2774,167,14
9068,2,167,1
91209,6605,28,12
65233,5397,28,4
36637,2451,28,10
26046,1724,28,4
34375,2145,28,5
23701,936,28,4
31816,1375,28,3
54231,2903,28,7
40118,2345,28,6
20064,865,28,3
5205,171,28,2
4745,154,28,1
165687,11924,8,16
95117,4238,8,10
34002,1255,8,7
27169,931,8,5
75796,4330,8,17
56729,2555,8,3
20681,849,8,7
12211,490,8,2
8901,395,8,1
15585,659,8,3
5407,179,8,2
7353,367,8,1
3690,201,8,1
92368,4945,1,13
45141,2360,1,7
33479,1284,1,7
81967,4819,1,16
100905,5291,1,21
34904,1547,1,6
18292,503,1,3
14423,573,1,2
33042,1363,1,5
18120,797,1,6
8893,536,1,2
11051,421,1,2
16544,1056,1,4
6926,176,1,1
12999,495,1,3
6631,280,1,2
4000,117,1,1
5319,227,1,0
245830,15502,11,26
86291,5403,11,6
94863,6202,11,12
17078,968,11,1
37051,1904,11,3
49428,2622,11,8
40208,2558,11,5
49711,2750,11,7
24148,970,11,4
129163,7886,11,12
54677,3103,11,9
42316,1892,11,8
40901,1933,11,1
33594,1711,11,3
38208,2043,11,4
39307,1698,11,4
44138,2078,11,5
15321,490,11,2
33458,2143,11,5
51896,2424,11,11
27917,1099,11,3
30874,1473,11,7
34663,1170,11,6
17050,492,11,1
15031,491,11,2
31217,19,11,3
107563,5375,3,15
87599,4830,3,16
103347,5472,3,22
57781,2887,3,9
11081,513,3,3
41740,1442,3,9
17901,789,3,3
15150,356,3,1
16420,1142,3,3
19526,672,3,4
19448,975,3,3
15323,349,3,2
14193,664,3,3
114748,7016,4,16
46147,2472,4,10
72564,4485,4,12
49346,2417,4,8
30378,1261,4,4
40577,2131,4,6
32907,1038,4,5
20091,760,4,3
31435,1196,4,4
19125,580,4,3
28757,851,4,2
25831,1054,4,3
42358,1793,4,11
15445,469,4,2
13402,473,4,2
23965,584,4,2
26861,892,4,4
22898,568,4,4
27873,645,4,3
25493,731,4,2
40303,1833,10,10
40853,2407,10,8
27243,835,10,10
31204,1363,10,9
76127,3800,10,17
15121,463,10,1
33055,1257,10,4
23840,779,10,2
24428,608,10,2
18793,499,10,1
15531,418,10,2
53961,2258,10,9
49667,1993,10,16
38404,1236,10,5
20049,722,10,3
11856,428,10,2
4380,110,10,1
5090,340,10,1
224544,12099,24,26
59386,3503,24,12
50726,2791,24,5
30998,2816,24,5
57795,2229,24,8
34723,1240,24,8
12693,437,24,4
24937,842,24,3
28519,1136,24,7
29383,807,24,2
26405,792,24,5
22314,650,24,2
61232,2631,24,9
18799,503,24,5
10706,323,24,2
26336,1150,24,7
39616,1248,24,5
15105,353,24,1
19538,667,24,1
11726,407,24,5
20862,537,24,2
19124,627,24,1
8327,409,24,2
7371,216,24,2
5613,233,24,5
8100,182,24,0
3408,92,24,0
7038,153,24,0
5394,131,24,0
7953,153,24,0
5072,116,24,0
5168,129,24,0
4974,174,24,0
116773,7801,2,14
14516,650,2,5
9210,545,2,2
18066,724,2,4
8235,426,2,4
8450,604,2,2
8141,387,2,4
6594,317,2,2
11677,560,2,5
5852,260,2,1
8034,357,2,1
3578,114,2,1
3151,97,2,1
3211,111,2,1
3617,110,2,1
5980,250,2,1
103928,8500,6,11
10387,553,6,6
22931,1478,6,6
20233,1044,6,7
89486,5232,6,15
18163,1040,6,9
12608,631,6,3
3930,190,6,1
11721,666,6,4
10230,543,6,4
12968,455,6,4
5660,107,6,0
5022,106,6,0
37889,3092,27,3
42131,2598,27,6
28496,1476,27,3
30758,4626,27,2
41508,1815,27,4
59884,2791,27,6
41302,2044,27,3
203928.4786,16517,30,22
143490.4749,6340,30,10
74158.04645,3115,30,5
123607.594,7034,3,12
150436.406,225,3,25
